Timestamp,Activity,Valence,Arousal,Dominance,Progress,Status,Notes
1571117075,,,,,,POPUP_OPENED,
1571117088,Just arrived,4,3,4,Average,POPUP_CLOSED,
1571120707,,,,,,POPUP_OPENED,
1571120752,Administrative tasks,4,3,4,Average,POPUP_CLOSED,"Putting things together so that I can close an open ticket that I have been working on last week, and open new ones which are related to new issues found."
1571124354,,,,,,POPUP_OPENED,
1571124366,Bugfixing,3,3,3,Average,POPUP_CLOSED,
1571132948,,,,,,POPUP_OPENED,
1571132963,Other,3,3,4,Average,POPUP_CLOSED,Had a small break
1571136654,,,,,,POPUP_OPENED,
1571136666,Coding,4,3,4,Average,POPUP_CLOSED,Finalizing ticket
1571140267,,,,,,POPUP_OPENED,
1571140295,Administrative tasks,4,3,4,Average,POPUP_CLOSED,Finishing a ticket that required a lot of work.
1571143921,,,,,,POPUP_OPENED,
1571143937,Bugfixing,4,3,4,Above average,POPUP_CLOSED,Finishing issue and started with another already.
1571203717,,,,,,POPUP_OPENED,
1571203729,Just arrived,4,3,4,Average,POPUP_CLOSED,
1571207341,,,,,,POPUP_OPENED,
1571207349,Coding,4,3,4,Average,POPUP_CLOSED,
1571210968,,,,,,POPUP_OPENED,
1571210975,Coding,4,3,4,Above average,POPUP_CLOSED,
1571214678,,,,,,POPUP_OPENED,
1571214906,Testing,4,3,4,Average,POPUP_CLOSED,
1571218544,,,,,,POPUP_OPENED,
1571218550,Coding,4,3,4,Above average,POPUP_CLOSED,
1571222210,,,,,,POPUP_OPENED,
1571222218,Bugfixing,4,3,4,Average,POPUP_CLOSED,
1571225819,,,,,,POPUP_OPENED,
1571225827,Testing,4,3,4,Average,POPUP_CLOSED,
1571229429,,,,,,POPUP_OPENED,
1571229454,Design,3,3,3,Average,POPUP_CLOSED,Starting a brand new difficult task. Have been fasting for 48 hours.
1571289281,,,,,,POPUP_OPENED,
1571289300,Just arrived,4,1,4,Average,POPUP_CLOSED,
1571292921,,,,,,POPUP_OPENED,
1571292939,Testing,3,1,3,Average,POPUP_CLOSED,
1571296542,,,,,,POPUP_OPENED,
1571296551,Testing,4,1,3,Average,POPUP_CLOSED,
1571301087,,,,,,POPUP_OPENED,
1571301098,Coding,4,2,4,Average,POPUP_CLOSED,
1571398418,,,,,,POPUP_OPENED,
1571398458,Bugfixing,3,2,2,Below average,POPUP_CLOSED,An issue that was considered solved reappeared. Today the ExperienceSampling did not spawn as expected.
1570518576,,,,,,POPUP_OPENED,
1570518611,Just arrived,4,3,4,Below average,POPUP_CLOSED,
1570522214,,,,,,POPUP_OPENED,
1570522246,Testing,4,2,4,Average,POPUP_CLOSED,
1570525849,,,,,,POPUP_OPENED,
1570525874,Coding,5,3,4,Average,POPUP_CLOSED,
1570529486,,,,,,POPUP_OPENED,
1570529508,Coding,4,3,3,Average,POPUP_CLOSED,
1570533111,,,,,,POPUP_OPENED,
1570533140,Email,4,4,3,Below average,POPUP_CLOSED,
1570536742,,,,,,POPUP_OPENED,
1570536775,Testing,4,4,4,Average,POPUP_CLOSED,
1570540432,,,,,,POPUP_OPENED,
1570540449,Bugfixing,5,4,4,Above average,POPUP_CLOSED,
1570545342,,,,,,POPUP_OPENED,
1570545375,Design,3,1,2,Very low,POPUP_CLOSED,
1570609857,,,,,,POPUP_OPENED,
1570609878,Administrative tasks,4,4,4,Average,POPUP_CLOSED,
1570613621,,,,,,POPUP_OPENED,
1570613644,Design,5,3,4,Above average,POPUP_CLOSED,
1570617248,,,,,,POPUP_OPENED,
1570617267,Design,5,3,4,Above average,POPUP_CLOSED,
1570621780,,,,,,POPUP_OPENED,
1570621817,Other,4,3,3,Below average,POPUP_CLOSED,
1570625421,,,,,,POPUP_OPENED,
1570625432,Coding,3,3,4,Average,POPUP_CLOSED,
1570629042,,,,,,POPUP_OPENED,
1570629060,Coding,5,3,4,Average,POPUP_CLOSED,
1570632663,,,,,,POPUP_OPENED,
1570632676,Coding,4,2,2,Below average,POPUP_CLOSED,
1570636288,,,,,,POPUP_OPENED,
1570636307,Bugfixing,5,2,4,Average,POPUP_CLOSED,
1570692654,,,,,,POPUP_OPENED,
1570692669,Just arrived,5,4,4,Below average,POPUP_CLOSED,
1570696272,,,,,,POPUP_OPENED,
1570696289,Testing,4,4,4,Average,POPUP_CLOSED,
1570699892,,,,,,POPUP_OPENED,
1570699908,Design,4,4,3,Above average,POPUP_CLOSED,
1570704057,,,,,,POPUP_OPENED,
1570704082,Just arrived,5,4,4,Below average,POPUP_CLOSED,
1570710202,,,,,,POPUP_OPENED,
1570710214,Meeting,5,5,4,Average,POPUP_CLOSED,
1570713816,,,,,,POPUP_OPENED,
1570713827,Bugfixing,4,5,4,Above average,POPUP_CLOSED,
1570717564,,,,,,POPUP_OPENED,
1570717578,Bugfixing,5,4,4,Above average,POPUP_CLOSED,
1570721180,,,,,,POPUP_OPENED,
1570721191,Bugfixing,4,4,5,Above average,POPUP_CLOSED,
1570779092,,,,,,POPUP_OPENED,
1570779106,Just arrived,5,5,4,Below average,POPUP_CLOSED,
1570782708,,,,,,POPUP_OPENED,
1570782717,Coding,4,3,4,Above average,POPUP_CLOSED,
1570787176,,,,,,POPUP_OPENED,
1570787197,Meeting,5,3,5,Above average,POPUP_CLOSED,
1570790800,,,,,,POPUP_OPENED,
1570790820,Coding,3,2,3,Below average,POPUP_CLOSED,
1570794424,,,,,,POPUP_OPENED,
1570794431,Coding,4,4,4,Above average,POPUP_CLOSED,
1570798053,,,,,,POPUP_OPENED,
1570798074,Coding,4,3,5,Average,POPUP_CLOSED,
1570801693,,,,,,POPUP_OPENED,
1570801708,Bugfixing,4,1,5,Below average,POPUP_CLOSED,
1570805310,,,,,,POPUP_OPENED,
1570805323,Coding,4,3,5,Average,POPUP_CLOSED,
1570808935,,,,,,POPUP_OPENED,
1570808949,Bugfixing,5,2,5,Below average,POPUP_CLOSED,
1571039001,,,,,,POPUP_OPENED,
1571039030,Other,4,3,5,Above average,POPUP_CLOSED,Migrating to a new server after the old one broke.
1571046039,,,,,,POPUP_OPENED,
1571046062,Just arrived,3,4,3,Below average,POPUP_CLOSED,Just got back from weekly meeting.
1571128322,,,,,,POPUP_OPENED,
1571128347,Networking,2,5,4,Above average,POPUP_CLOSED,Still resolving server issues.
1571132923,,,,,,POPUP_OPENED,
1571132957,Just arrived,5,4,4,Average,POPUP_CLOSED,"Making progress, took a break (just got back now)."
1571136563,,,,,,POPUP_OPENED,
1571136579,Networking,4,4,5,Above average,POPUP_CLOSED,Still fixing server problems.
1571140223,,,,,,POPUP_OPENED,
1571140240,Networking,4,3,4,Above average,POPUP_CLOSED,
1571143867,,,,,,POPUP_OPENED,
1571143898,Networking,4,4,4,Average,POPUP_CLOSED,Frustration that things still aren't working!
1571147729,,,,,,POPUP_OPENED,
1571147744,Networking,4,2,3,Below average,POPUP_CLOSED,
1571151347,,,,,,POPUP_OPENED,
1571151371,Networking,4,3,3,Above average,POPUP_CLOSED,Fixing the final server issues.
1571154978,,,,,,POPUP_OPENED,
1571155002,Administrative tasks,4,4,3,Average,POPUP_CLOSED,"Almost going home, but I'm finishing the final issues."
1571214621,,,,,,POPUP_OPENED,
1571214630,Bugfixing,4,3,3,Average,POPUP_CLOSED,
1571218484,,,,,,POPUP_OPENED,
1571218502,Meeting,4,3,3,Below average,POPUP_CLOSED,Helping others.
1571222131,,,,,,POPUP_OPENED,
1571222141,Bugfixing,4,3,5,Above average,POPUP_CLOSED,
1571226053,,,,,,POPUP_OPENED,
1571226075,Bugfixing,4,3,3,Above average,POPUP_CLOSED,Fixing some easy bugs.
1571230311,,,,,,POPUP_OPENED,
1571230326,Just arrived,5,4,4,Above average,POPUP_CLOSED,Took a break
1571233929,,,,,,POPUP_OPENED,
1571233946,Networking,4,3,3,Average,POPUP_CLOSED,Moving Jenkins server.
1571237615,,,,,,POPUP_OPENED,
1571237633,Networking,4,3,3,Below average,POPUP_CLOSED,Attempting to move Jenkins server.
1571241236,,,,,,POPUP_OPENED,
1571241253,Testing,4,2,4,Average,POPUP_CLOSED,
1571294870,,,,,,POPUP_OPENED,
1571294880,Just arrived,4,3,3,Average,POPUP_CLOSED,
1571298886,,,,,,POPUP_OPENED,
1571298912,Meeting,5,3,3,Below average,POPUP_CLOSED,Good atmosphere!
1571303818,,,,,,POPUP_OPENED,
1571303840,Bugfixing,2,2,2,Average,POPUP_CLOSED,Fixing breaking tests.
1571307533,,,,,,POPUP_OPENED,
1571307557,Meeting,2,2,2,Very low,POPUP_CLOSED,Helping colleagues.
1571311160,,,,,,POPUP_OPENED,
1571311176,Bugfixing,3,2,3,Average,POPUP_CLOSED,
1571314996,,,,,,POPUP_OPENED,
1571315005,Testing,4,3,3,Average,POPUP_CLOSED,
1571318622,,,,,,POPUP_OPENED,
1571318641,Design,4,4,3,Average,POPUP_CLOSED,Discussing the design of a new feature.
1571322243,,,,,,POPUP_OPENED,
1571322260,Design,4,3,4,Average,POPUP_CLOSED,
1571325862,,,,,,POPUP_OPENED,
1571325883,Testing,5,3,4,Average,POPUP_CLOSED,
1571387256,,,,,,POPUP_OPENED,
1571387306,Networking,4,3,3,Average,POPUP_CLOSED,Deploying Jenkins on new server.
1571390925,,,,,,POPUP_OPENED,
1571390937,Networking,4,3,3,Average,POPUP_CLOSED,
1571395261,,,,,,POPUP_OPENED,
1571395274,Meeting,3,3,3,Below average,POPUP_CLOSED,Planning.
1571399253,,,,,,POPUP_OPENED,
1571399274,Helping,4,4,4,Average,POPUP_CLOSED,Working on web server.
1571402878,,,,,,POPUP_OPENED,
1571402895,Bugfixing,1,3,3,Average,POPUP_CLOSED,Getting very annoyed by an annoying bug I can't solve.
1571406497,,,,,,POPUP_OPENED,
1571406512,Testing,5,4,4,Average,POPUP_CLOSED,Solved annoying bug!
1571410121,,,,,,POPUP_OPENED,
1571410135,Other,4,3,3,Average,POPUP_CLOSED,
1571381050,,,,,,POPUP_OPENED,
1571381091,Just arrived,4,3,4,Average,POPUP_CLOSED,"Had some trouble getting the emotion study to work; fortunately, cleaning up everything got it running again"
1571385277,,,,,,POPUP_OPENED,
1571385293,Coding,3,3,3,Average,POPUP_CLOSED,
1571388946,,,,,,POPUP_OPENED,
1571388961,Documentation,4,4,3,Average,POPUP_CLOSED,
1571392568,,,,,,POPUP_OPENED,
1571392592,Documentation,3,3,4,Average,POPUP_CLOSED,Documentation finished. On to finishing final refactoring
1571396819,,,,,,POPUP_OPENED,
1571396829,Coding,4,4,3,Average,POPUP_CLOSED,
1571400432,,,,,,POPUP_OPENED,
1571400443,Coding,3,4,3,Average,POPUP_CLOSED,
1571405006,,,,,,POPUP_OPENED,
1571405017,Coding,3,3,3,Average,POPUP_CLOSED,
1571409177,,,,,,POPUP_OPENED,
1571409201,Testing,4,2,3,Above average,POPUP_CLOSED,"Review went well, though ran into one more problem."
